Timestamp,Wind Direction,Wind Speed
1,231.93726,134.88522
2,232.98395,141.12045
3,231.85153,132.29694
4,224.13754,118.38308
5,228.63986,100.243675
6,242.74467,93.54598
7,262.30396,80.64643
8,265.13007,80.57086
9,268.28653,84.27768
10,270,81
11,272.61444,78.92215
12,273.383,73.207565
13,296.45734,85.6505
14,284.81348,90.11513
15,273.2052,90.14101
16,276.34018,78.23853
17,262.2966,75.19865
18,258.49942,84.863846
19,255.4833,83.29936
20,256.2777,63.739315
21,246.69116,73.69456
22,255.64474,78.408134
23,276.163,77.12575
24,279.32358,73.32874
25,283.79382,61.90535
26,278.2894,54.93392
27,292.7215,62.446247
28,297.60397,62.155018
29,297.12814,65.5289
30,303.91742,75.48419
31,308.90414,79.10585
32,318.48932,83.65024
33,323.13013,93.6
34,328.14636,115.28153
35,332.57434,150.06602
36,333.49512,153.26912
37,332.96088,136.20804
38,327.7094,122.64751
39,324.02115,125.00712
40,331.0583,124.235466
41,328.5052,119.90323
42,328.1678,126.27176
43,331.46286,112.281334
44,323.09332,112.10402
45,316.06586,109.47907
46,307.875,82.09263
47,319.1051,106.679115
48,319.844,105.509476
49,313.80377,109.7386
50,310.6636,107.73207
51,304.24585,113.230736
52,299.41562,116.54496
53,297.95688,125.93673
54,300.1032,135.65695
55,295.38116,140.25822
56,290.2907,154.67856
57,282.6056,174.8548
58,285.9454,201.80464
59,285.76007,229.29993
60,286.14874,236.86606
61,288.736,195.01402
62,287.55655,133.66621
63,304.14514,125.71012
64,308.70935,130.09903
65,312.02332,127.45118
66,309.67725,123.4842
67,312.93,147.99503
68,316.75018,183.3676
69,316.86203,195.85886
70,317.6358,199.27553
71,317.40857,187.77545
72,315.8914,179.9946
73,314.66495,174.12096
74,315.32465,179.72113
75,311.6434,173.90718
76,309.56366,174.64899
77,311.35132,176.00208
78,311.67358,171.09698
79,311.33008,174.98592
80,309.20978,164.00874
81,309.75385,153.12193
82,308.41418,144.26839
83,304.22482,149.77557
84,301.08752,142.92725
85,301.2184,138.91522
86,297.86182,120.93964
87,295.8616,118.01961
88,294.98486,116.76714
89,296.16992,116.72552
90,297.7422,117.55254
91,296.7251,115.27422
92,294.82684,111.461136
93,287.5351,108.73251
94,282.9112,111.170654
95,281.51074,120.87104
96,283.3161,125.04184
97,284.2326,127.39015
98,286.16016,131.933
99,286.47687,133.27295
100,286.20905,128.96646
101,283.7995,126.7793
102,278.4572,124.837494
103,272.75714,127.22728
104,270.48282,128.16454
105,265.1105,122.48573
106,261.8953,114.907684
107,263.26837,110.56221
108,262.85107,107.03206
109,262.89938,104.844086
110,264.52588,86.795845
111,264.4278,88.98047
112,263.5119,92.39173
113,262.1763,95.20622
114,259.22552,98.211395
115,258.4129,102.16201
116,256.3552,102.245705
117,253.6223,98.309006
118,248.7607,95.399994
119,246.33228,92.36929
120,242.70627,101.27523
121,241.05608,108.6055
122,238.03455,109.48084
123,240.53113,111.230675
124,241.76256,110.329865
125,242.05252,106.77201
126,241.1013,102.80128
127,239.42892,99.094215
128,237.90108,93.491936
129,236.11874,89.762085
130,233.22672,85.39212
131,230.19443,81.53901
132,227.93567,79.526596
133,226.10172,79.43692
134,231.78465,79.725975
135,231.63252,77.13834
136,231.64153,74.83325
137,231.29683,74.27001
138,228.78758,73.21819
139,228.17984,73.42588
140,226.61354,72.32327
141,226.43723,71.04415
142,224.78215,66.94935
143,223.37668,62.901176
144,220.52512,58.727463
145,216.15819,57.96447
146,214.1806,58.31222
147,215.25636,51.140278
148,212.9694,47.630325
149,217.72499,48.245373
150,214.59229,50.728073
151,220.29794,59.00157
152,214.12494,52.620373
153,211.52684,50.25837
154,205.38791,47.021015
155,202.7241,45.66469
156,205.65927,40.7373
157,200.29176,45.67462
158,194.03624,34.139313
159,184.49715,32.138947
160,180.6366,32.402
161,176.05481,31.394394
162,181.13441,36.367126
163,192.35536,38.69623
164,182.92072,35.32589
165,185.46384,41.58896
166,187.59465,38.134518
167,188.86462,39.71438
168,189.46233,39.4163
169,190.8403,34.454838
170,187.94347,31.259945
171,182.89857,28.47643
172,177.51045,24.863468
173,168.69006,23.863409
174,166.53479,26.282465
175,165.6186,28.988384
176,171.57303,29.478264
177,182.1211,29.179993
178,172.78574,28.66694
179,161.34212,29.257614
180,169.87534,30.718357
181,185.37671,30.735231
182,168.2317,26.476522
183,166.94475,25.49908
184,175.1009,25.2924
185,173.08878,23.933907
186,176.94711,27.038372
187,191.59218,42.99702
188,199.584,39.738846
189,172.2664,29.427662
190,168.94359,31.912327
191,163.87242,31.104082
192,157.89055,24.86868
193,161.56505,22.768398
194,176.28471,27.77838
195,142.19347,26.42753
196,140.65948,28.394392
197,150.04639,24.514387
198,214.99202,21.9718
199,187.18427,43.17899
200,169.8085,32.55363
201,162.23909,48.386196
202,208.23744,44.131947
203,230.7679,50.659046
204,222.21484,47.149002
205,233.29128,51.1922
206,180.6662,30.962095
207,184.88521,42.273567
208,180.50258,41.041576
209,186.44954,41.66368
210,195.52411,40.35213
211,197.38239,43.38112
212,195.3575,53.01298
213,198.2995,48.155296
214,210.36427,41.305977
215,222.4471,40.00538
216,223.83087,37.427883
217,228.86546,37.76055
218,248.48412,40.244392
219,267.03906,41.815826
220,265.19205,38.65602
221,270.52084,39.601635
222,270.54053,38.1617
223,260.35196,36.516495
224,244.62845,38.64764
225,234.75797,40.552364
226,233.23563,39.09606
227,236.59218,40.53798
228,248.1986,42.650505
229,256.31598,42.609463
230,251.75415,34.494312
231,251.56506,30.737339
232,245.8068,27.231804
233,237.40742,26.064596
234,229.72014,27.841293
235,227.6264,27.776047
236,236.08258,25.1614
237,241.5258,24.162947
238,242.31894,24.798225
239,242.67612,24.312662
240,239.48978,23.4
241,240.9454,22.238562
242,237.99463,20.3774
243,239.98164,18.709612
244,227.29062,19.107151
245,219.95755,17.377226
246,228.46823,16.831684
247,231.11551,14.336861
248,245.85446,11.440979
249,265.03027,8.311245
250,300.25644,5.00128
251,360,2.8799999
252,63.43495,4.829907
253,86.82017,6.489992
254,144.24611,11.090103
255,127.23483,11.304229
256,109.9831,12.641076
257,107.96913,14.003029
258,104.03624,14.84318
259,98.84181,16.394829
260,99.09027,18.228943
261,83.29016,18.486622
262,78.48617,19.839235
263,71.00335,23.224882
264,64.20397,23.990698
265,64.29004,21.575987
266,63.00415,21.413193
267,60.37625,21.120682
268,57.80426,22.9724
269,58.891174,24.387178
270,59.93141,23.710857
271,62.241455,23.188583
272,64.69861,21.900904
273,65.224846,20.61766
274,66.54097,20.799152
275,68.008865,20.188908
276,71.22196,19.011953
277,76.263725,16.676977
278,79.82449,14.264361
279,86.63353,12.261158
280,93.945175,10.464798
281,100.30484,8.049845
282,113.62937,6.28713
283,131.63353,4.3349743
284,161.56505,3.4152596
285,180,3.96
286,202.61987,4.6800003
287,213.69006,5.1919937
288,203.1986,5.4833565
289,200.22485,7.289444
290,199.17902,8.766573
291,194.03624,10.390226
292,198.97041,12.181625
293,202.10945,12.43434
294,199.98311,12.641076
295,194.03624,13.358861
296,192.68039,14.759999
297,192.80426,16.24394
298,190.20398,18.289274
299,191.30994,18.35647
300,191.09372,18.709612
301,191.53462,18.0036
302,154.0256,15.617529
303,153.43495,16.09969
304,151.78264,16.75064
305,155.05609,17.072504
306,163.17859,16.171976
307,171.8699,15.273505
308,178.49257,13.684735
309,183.81407,10.823973
310,180,7.92
311,172.40535,5.4477882
312,167.00539,4.802999
313,160.01689,4.2136917
314,157.38013,4.6800003
315,156.8014,5.4833565
316,140.71059,5.1165614
317,116.56505,5.634891
318,108.434944,6.830519
319,99.86581,8.4042845
320,93.945175,10.464798
321,89.99999,10.08
322,84.09385,10.495713
323,84.09385,10.495713
324,77.47118,9.9571085
325,58.671295,9.693296
326,56.30993,9.085988
327,49.184906,10.464797
328,47.489548,11.720751
329,51.34018,11.525623
330,52.431404,11.808878
331,51.34018,11.525623
332,52.76516,11.304229
333,53.47113,12.096214
334,56.30993,11.681987
335,55.304832,11.384198
336,49.184906,10.464797
337,43.264297,8.404285
338,22.249008,8.557102
339,2.7262878,7.5685663
340,338.6294,8.891344
341,326.30994,11.681987
342,316.1233,12.984975
343,307.1847,13.104198
344,290.72556,14.24163
345,275.3893,19.164719
346,268.40887,25.929996
347,270,33.12
348,278.97263,34.62369
349,301.93845,32.664917
350,280.96786,47.30405
351,277.85333,52.69421
352,280.73267,56.06068
353,298.72034,59.93324
354,291.10486,65.986145
355,292.0831,67.9876
356,281.2589,79.285866
357,270,83.88
358,270.9094,90.73142
359,284.804,104.26087
360,284.56717,113.07496
361,286.2669,123.37921
362,289.48615,124.10866
363,295.59637,133.32448
364,300.10132,143.56058
365,300.7258,148.66997
366,301.56497,158.86444
367,300.17352,161.1554
368,300.43423,167.01245
369,299.83554,169.32251
370,298.1971,175.2357
371,298.93173,179.3425
372,298.3711,178.79536
373,297.9147,184.55363
374,299.59808,191.69382
375,298.9313,194.97249
376,296.27298,189.4958
377,293.45526,189.93402
378,289.2593,189.9081
379,285.9601,192.45865
380,283.85428,192.43845
381,282.76147,192.31042
382,284.08868,190.7786
383,284.17017,186.76263
384,285.8046,181.08572
385,285.67108,165.26312
386,286.1307,152.89958
387,287.134,145.4137
388,288.91644,135.47675
389,291.9317,117.59002
390,299.268,112.66217
391,303.12485,111.33374
392,306.90613,113.904015
393,306.79767,114.192085
394,307.54688,115.78409
395,309.75568,105.8302
396,304.99203,96.67592
397,312.7494,116.677765
398,320.81097,115.654724
399,321.2558,114.46924
400,320.52753,118.92266
401,318.59235,113.756584
402,315.74408,117.615906
403,318.18594,132.83023
404,320.15857,147.22195
405,320.56992,154.73845
406,318.6239,153.04108
407,319.0521,154.90419
408,320.85602,159.67776
409,323.20813,158.68814
410,318.5945,150.23045
411,317.8763,157.26067
412,314.81635,158.84528
413,314.62433,155.28398
414,313.9652,155.05138
415,310.39758,142.7585
416,305.03033,132.3322
417,303.31863,123.2126
418,298.2348,127.08051
419,295.88028,121.23932
420,295.13293,128.83777
421,293.06287,139.68419
422,290.81265,131.71474
423,289.24054,137.64856
424,289.07257,143.22209
425,289.47165,144.71687
426,290.1275,146.4647
427,291.10712,148.95345
428,292.47516,153.49895
429,294.00403,151.32722
430,293.64496,151.69504
431,293.03802,151.78557
432,290.96927,151.89995
433,289.03,153.46729
434,287.47943,157.00993
435,285.16446,159.6388
436,282.62485,163.06252
437,280.6575,167.40775
438,279.44275,173.34888
439,277.64185,173.25876
440,277.21902,163.29442
441,278.3495,146.27036
442,281.44104,123.41228
443,284.66785,110.89402
444,287.46393,100.76463
445,291.92688,91.58516
446,299.07275,110.38858
447,300.01456,104.35406
448,298.91193,98.29054
449,296.56506,92.57321
450,291.71765,91.45133
451,287.03015,83.58515
452,286.5981,78.13575
453,285.9834,74.52087
454,288.9622,74.22812
455,292.04794,77.68079
456,297.69946,81.319374
457,300.56085,87.79573
458,302.98853,97.85645
459,306.3175,104.54886
460,308.92755,108.28582
461,312.24994,116.72219
462,315,121.1698
463,312.13187,127.18398
464,310.87988,120.4629
465,305.90005,119.10505
466,302.25925,111.9623
467,305.27982,111.57096
468,306.68683,112.68058
469,304.79855,113.54619
470,294.0503,95.40204
471,291.1673,102.688385
472,299.74487,110.29169
473,298.92194,105.703384
474,300.8704,113.66256
475,302.5403,114.44659
476,304.3078,111.13509
477,308.83337,111.37739
478,307.04785,115.92056
479,312.35745,132.51129
480,317.67188,152.90129
481,321.21564,155.1746
482,325.55182,158.46953
483,327.5775,162.48926
484,329.473,170.09724
485,328.71094,173.98468
486,328.71484,176.0838
487,329.07697,173.73495
488,329.8719,173.56816
489,330.6752,170.53249
490,330.80252,154.23679
491,333.65576,167.11601
492,335.4295,161.89998
493,335.51215,155.46414
494,332.33853,168.27255
495,331.17816,163.53868
496,330.56378,157.49165
497,330.05045,149.98871
498,329.96472,140.96977
499,329.7436,135.03456
500,329.39557,127.98848
501,326.12347,122.71142
502,325.77853,118.42249
503,321.25223,109.859
504,319.9392,103.48043
505,315,97.75044
506,307.7631,96.99578
507,308.37415,101.48297
508,310.60132,99.57108
509,310.28525,99.10401
510,309.15546,97.49356
511,306.4892,108.36239
512,304.99203,109.859
513,308.3675,110.19764
514,309.6823,107.12102
515,307.37796,105.556145
516,300.18866,109.53587
517,300.78415,118.16996
518,296.30502,106.42004
519,296.38287,101.26756
520,301.2563,84.64594
521,296.8405,66.97548
522,311.44073,53.30553
523,333.58493,61.501022
524,356.5788,66.35826
525,346.83896,74.31188
526,341.72076,83.78802
527,335.9685,91.05225
528,333.6186,100.46257
529,339.06964,96.7436
530,339.049,85.577835
531,333.55634,75.9907
532,328.15753,80.51776
533,325.68494,82.37788
534,323.22882,83.592125
535,325.37073,79.188545
536,326.30994,73.98591
537,326.30994,71.389915
538,332.10272,69.24738
539,326.04095,63.802315
540,324.58295,59.635166
541,320.23956,58.53848
542,333.63458,46.206387
543,325.04938,40.846912
544,316.8241,39.98594
545,318.40643,42.84151
546,326.9043,48.128376
547,331.67258,52.348755
548,326.30994,50.62194
549,315.5509,52.950603
550,306.5631,53.78477
551,319.27585,54.627552
552,317.86243,50.97529
553,321.84277,51.27694
554,320.30093,49.59645
555,316.54816,47.110508
556,313.09088,45.845966
557,310.34665,43.928852
558,305.95242,40.46919
559,299.6731,35.632725
560,289.0256,33.12978
561,278.74615,33.145424
562,270.58463,35.281837
563,266.25702,38.60234
564,259.28687,40.66885
565,252.14969,44.628387
566,251.01678,47.588135
567,249.44395,52.2893
568,248.33405,56.555527
569,248.51797,59.96567
570,248.9625,65.18485
571,250.70996,68.654366
572,253.09769,68.101875
573,251.94576,68.53439
574,248.1986,69.79173
575,247.46675,73.273926
576,246.40227,74.64164
577,247.29716,76.48623
578,246.7665,77.5706
579,246.2796,77.85744
580,245.66461,78.62601
581,244.70287,80.03505
582,243.20848,81.465065
583,241.76662,82.94856
584,240.4051,85.286575
585,238.26912,87.61619
586,235.73056,88.867516
587,233.49857,89.569855
588,232.85332,89.42504
589,232.14465,92.10162
590,241.79837,84.55786
591,245.34785,81.99311
592,245.94266,88.31087
593,244.55626,90.49759
594,241.07884,90.07341
595,236.0635,92.857666
596,234.46233,92.90511
597,237.15247,88.27344
598,235.97566,85.5695
599,239.34933,90.38796
600,241.59064,90.04391
601,237.85309,92.69073
602,235.35905,96.264824
603,235.99478,90.76142
604,239.44904,85.69664
605,236.71869,83.97265
606,234.72263,82.904015
607,236.16724,80.17661
608,234.92166,78.30227
609,234.87405,75.70707
610,234.13715,73.73939
611,229.51913,74.30752
612,223.93909,82.49107
613,222.39745,78.484955
614,224.7961,71.53137
615,223.93515,68.488045
616,222.05356,69.33155
617,221.0943,63.532608
618,221.04575,55.370995
619,224.65276,42.002914
620,218.06161,48.46648
621,215.29715,49.842777
622,216.8699,54
623,227.10165,55.531094
624,228.54477,57.640484
625,217.5686,59.04439
626,234.18054,51.05658
627,214.08887,43.034683
628,222.51045,46.883003
629,227.95631,54.2932
630,233.46129,62.28104
631,238.28163,60.942158
632,239.64189,58.408817
633,240.64226,52.869774
634,251.42429,46.33383
635,259.56253,41.730507
636,262.81946,46.0814
637,263.29016,55.45987
638,270.99634,41.406258
639,278.7853,40.070118
640,296.00336,32.84494
641,319.01416,29.09103
642,327.4751,29.460672
643,329.56577,33.40249
644,344.20758,37.038033
645,2.1610718,38.18716
646,15.471313,41.835964
647,11.633621,37.490158
648,7.052292,35.1862
649,359.3905,33.841915
650,352.5686,33.40055
651,347.33493,32.839024
652,343.8866,33.72491
653,342.1213,35.178837
654,336.72107,33.70377
655,335.55603,30.449274
656,333.11307,28.657898
657,322.38605,27.722336
658,310.7636,27.567635
659,301.3287,29.07989
660,294.82056,31.731092
661,290.34412,34.171566
662,323.6732,30.385365
663,316.29218,33.864883
664,310.10092,35.768856
665,308.84082,35.58905
666,310.4095,34.98674
667,313.26428,33.61714
668,318.10602,32.886345
669,324.84583,31.262014
670,331.55707,29.47826
671,333.77805,26.886963
672,332.35403,25.603062
673,329.18433,23.893261
674,319.8645,24.014996
675,311.56638,25.501621
676,306.5911,29.59235
677,306.1582,34.778683
678,308.06567,37.952263
679,308.57654,38.681152
680,307.1847,39.31259
681,305.24203,40.552364
682,304.56253,39.3439
683,303.0917,38.243114
684,298.48218,38.49981
685,293.80597,40.13475
686,302.8557,41.140926
687,297.2161,42.505924
688,291.8858,45.391415
689,288.17212,49.635635
690,287.37622,55.450516
691,286.40857,61.1714
692,286.66956,66.5153
693,287.06012,71.17173
694,288.5235,73.65586
695,291.85284,74.47129
696,294.04816,73.324326
697,294.9671,75.053734
698,297.07776,71.96849
699,301.28265,66.5562
700,305.38028,60.93259
701,308.0346,56.675705
702,308.60342,57.122143
703,309.53616,58.81567
704,312.78796,59.35635
705,316.02304,57.030178
706,317.5895,50.708908
707,314.6726,44.548454
708,308.24643,38.96324
709,299.60446,36.43655
710,297.8241,29.308508
711,280.66034,31.1374
712,270,36
713,264.94275,40.83898
714,263.21103,45.680298
715,262.82275,48.983818
716,263.65982,52.159016
717,266.1604,53.76067
718,270.38452,53.641205
719,272.70792,53.33956
720,275.93152,55.738415
721,279.70667,55.51475
722,279.83356,54.805195
723,284.3003,56.84125
724,280.9228,62.695835
725,281.1292,67.14265
726,289.76242,63.882504
727,294.42062,73.143814
728,296.45316,82.430565
729,289.12894,84.590805
730,282.6927,81.92195
731,278.58362,77.18453
732,275.24182,78.80958
733,272.70294,83.97342
734,265.91437,75.79261
735,265.2776,83.08204
736,264.65863,88.94623
737,265.18185,94.2932
738,264.07938,97.72127
739,262.65396,104.17507
740,266.0548,104.64798
741,264.66785,108.46938
742,261.10745,107.12767
743,257.53128,111.714905
744,256.34235,118.92266
745,254.2612,123.427505
746,252.31328,122.04901
747,254.84937,121.21312
748,255.81067,130.70776
749,252.89728,132.20628
750,249.2668,136.26463
751,246.93713,139.68419
752,246.93985,136.9425
753,243.93378,129.44641
754,243.12608,119.461426
755,240.75117,113.46626
756,239.1955,111.06977
757,240.4268,104.308716
758,234.41699,105.794685
759,241.75575,98.89456
760,251.56506,69.44361
761,260.9421,50.307343
762,269.00366,41.406258
763,271.77148,34.936695
764,271.27304,32.407997
765,265.6013,32.85678
766,260.10608,31.427404
767,259.85446,34.743263
768,263.58917,32.24161
769,267.97864,30.619051
770,276.49933,28.623962
771,274.4474,32.49785
772,271.1124,37.08699
773,269.4695,38.881668
774,263.25995,39.875587
775,258.99646,39.60818
776,257.4712,39.828434
777,261.02737,41.548428
778,270,35.64
779,288.43497,22.768398
780,331.55707,19.652176
781,349.77783,22.314192
782,335.4099,23.358425
783,323.13013,19.8
784,305.5377,21.67786
785,289.53665,23.683512
786,281.02347,28.241076
787,275.41187,34.353127
788,270.56726,36.361782
789,269.45435,37.801712
790,265.19205,38.65602
791,260.88864,38.64764
792,255.40343,35.71265
793,251.37213,33.81126
794,246.55194,32.569557
795,245.77226,31.581665
